# LC-RV reference data -- glycerol concentration series (20-100 % by mass).
# Source workbook: 'Rotational Viscometer Data.xlsx', sheet 'Sasanka Gylcerol and Oil 2' (columns G_100% 43mm .. G_20% 43mm).
# Instrument geometry: cup inner diameter 46.0 mm, bob 43.0 mm, annular gap 1.5 mm, wetted bob height 25.0 mm.
# BELOW-DETECTION CONVENTION: a load_cell_g of exactly 0 (and the small negative values in the 20-60 % columns) are GENUINE readings at or below the instrument's detection floor -- they are NOT missing data. An empty cell means no reading was recorded. Do not drop the zeros.
# load_cell_g is a single raw replicate reading. Columns prefixed 'wb_' are workbook-computed per-RPM-group values, repeated on every replicate row of that group.
# wb_series_mean_viscosity_Pas / wb_series_sd_viscosity_Pas are the workbook's mean and SD of wb_viscosity_Pas over the whole 120-400 RPM sweep for that concentration. wb_literature_viscosity_Pas is the reference value the workbook compared against (see data/README.md -- these are 25 C Sheely values except the 100 % entry).
# Workbook model (as published): wb_shear_rate_1s = omega*R_b/G, wb_shear_stress_Pa = F(N)/(2*pi*R_b*h), with F(N) = load_cell_g * 9.81 / 1000.
# Corresponds to paper Fig. 4A (shear stress vs shear rate) and Fig. 4B (measured vs literature viscosity bars).
fluid,concentration_pct,cup_id_mm,bob_diameter_mm,gap_mm,wetted_height_mm,rpm,rpm_nominal,replicate,load_cell_g,wb_group_mean_load_cell_g,wb_angular_velocity_rad_s,wb_bob_surface_velocity_m_s,wb_shear_rate_1s,wb_shear_stress_Pa,wb_viscosity_Pas,source_sheet,source_column,wb_series_mean_viscosity_Pas,wb_series_sd_viscosity_Pas,wb_literature_viscosity_Pas
glycerol,100,46,43,1.5,25,130.04,130,6,19.19,19.1455,13.61356817,0.2926917156,195.1278104,55.61313571,0.2850087622,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,130.04,130,7,19.21,19.1455,13.61356817,0.2926917156,195.1278104,55.61313571,0.2850087622,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,130.04,130,8,19.26,19.1455,13.61356817,0.2926917156,195.1278104,55.61313571,0.2850087622,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,130.04,130,9,19.28,19.1455,13.61356817,0.2926917156,195.1278104,55.61313571,0.2850087622,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,130.04,130,10,19.27,19.1455,13.61356817,0.2926917156,195.1278104,55.61313571,0.2850087622,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,130.04,130,11,19.24,19.1455,13.61356817,0.2926917156,195.1278104,55.61313571,0.2850087622,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,130.04,130,12,19.24,19.1455,13.61356817,0.2926917156,195.1278104,55.61313571,0.2850087622,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,130.04,130,13,19.27,19.1455,13.61356817,0.2926917156,195.1278104,55.61313571,0.2850087622,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,130.04,130,14,19.29,19.1455,13.61356817,0.2926917156,195.1278104,55.61313571,0.2850087622,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,130.04,130,15,19.24,19.1455,13.61356817,0.2926917156,195.1278104,55.61313571,0.2850087622,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,130.04,130,16,19.22,19.1455,13.61356817,0.2926917156,195.1278104,55.61313571,0.2850087622,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,130.04,130,17,19.24,19.1455,13.61356817,0.2926917156,195.1278104,55.61313571,0.2850087622,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,130.04,130,18,19.28,19.1455,13.61356817,0.2926917156,195.1278104,55.61313571,0.2850087622,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,130.04,130,19,19.3,19.1455,13.61356817,0.2926917156,195.1278104,55.61313571,0.2850087622,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,130.04,130,20,19.27,19.1455,13.61356817,0.2926917156,195.1278104,55.61313571,0.2850087622,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,140.06,140,1,19.26,20.6545,14.66076572,0.3152064629,210.1376419,59.99642274,0.285510117,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,140.06,140,2,20.16,20.6545,14.66076572,0.3152064629,210.1376419,59.99642274,0.285510117,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,140.06,140,3,20.74,20.6545,14.66076572,0.3152064629,210.1376419,59.99642274,0.285510117,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,140.06,140,4,20.74,20.6545,14.66076572,0.3152064629,210.1376419,59.99642274,0.285510117,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
glycerol,100,46,43,1.5,25,140.06,140,5,20.74,20.6545,14.66076572,0.3152064629,210.1376419,59.99642274,0.285510117,Sasanka Gylcerol and Oil 2,G_100% 43mm,0.2733249788,0.0168815546,0.624
